,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,2025-10-21,1760997600,980,1009,2.9,9.0,6.8,1761051600,240,18.5,24.9,13,1761051600,1761015600,69,12.2,72,0.0,0.0,0,0,164,3942,165,3956,608,295,7074,844,35,838,104,4.3
1,2025-10-22,1761084000,981,1009,2.9,7.6,6.3,1761145200,232,21.2,26.1,16,1761141600,1761105600,62,13.4,55,0.0,0.0,0,0,129,3093,163,3906,603,293,7038,842,35,833,104,3.9
2,2025-10-23,1761170400,980,1008,6.7,21.6,13.9,1761220800,248,21.1,26.7,16,1761224400,1761246000,47,8.7,58,0.0,0.0,0,0,161,3856,161,3857,597,292,7002,840,35,828,103,4.2
3,2025-10-24,1761256800,988,1016,2.9,8.2,5.2,1761318000,268,15.4,21.3,11,1761314400,1761278400,50,4.6,57,0.3,0.3,0,0,157,3779,159,3808,591,290,6966,838,34,823,103,4.0
4,2025-10-25,1761343200,986,1013,1.7,4.8,3.9,1761397200,252,17.0,21.8,13,1761397200,1761361200,66,10.5,47,1.8,1.8,0,0,128,3078,157,3759,586,289,6928,837,34,818,103,3.0
5,2025-10-26,1761429600,988,1016,1.8,5.1,3.0,1761480000,223,14.9,18.0,10,1761429600,1761516000,76,10.6,59,17.0,17.0,0,0,64,1610,148,3710,581,276,6891,835,33,813,102,2.0
6,2025-10-27,1761519600,994,1020,2.9,6.5,5.7,1761559200,262,12.7,18.3,7,1761577200,1761544800,66,6.2,71,0.0,0.0,0,0,152,3638,153,3663,575,286,6853,833,34,808,102,3.5
7,2025-10-28,1761606000,995,1019,1.4,5.0,2.8,1761634800,201,14.5,21.1,10,1761660000,1761624000,70,8.8,56,0.0,0.0,0,0,147,3524,151,3615,570,284,6814,831,33,803,102,3.7
8,2025-10-29,1761692400,983,1012,0.9,4.6,2.0,1761746400,170,14.7,20.0,9,1761746400,1761706800,88,12.7,67,5.8,5.8,0,0,79,1903,149,3568,564,282,6775,829,33,798,101,2.2
9,2025-10-30,1761778800,984,1012,2.1,7.2,4.6,1761822000,250,16.7,23.6,12,1761829200,1761861600,81,13.1,60,3.5,3.5,0,0,140,3356,147,3521,559,281,6736,827,33,793,101,2.8
10,2025-10-31,1761865200,987,1016,2.1,7.3,4.4,1761919200,244,15.7,23.0,11,1761922800,1761890400,75,10.9,54,0.0,0.0,0,0,46,1102,145,3475,554,279,6696,825,33,788,100,1.2
11,2025-11-01,1761951600,989,1017,1.3,6.9,3.6,1761998400,193,16.5,24.0,11,1762009200,1761980400,76,11.8,72,0.3,0.3,0,0,55,1308,143,3429,549,277,6655,823,33,782,100,1.5
12,2025-11-02,1762038000,990,1018,2.1,6.4,5.7,1762081200,183,16.6,22.0,12,1762084800,1762120800,73,11.2,50,0.0,0.0,0,0,70,1681,141,3384,543,276,6615,822,32,777,100,2.3
13,2025-11-03,1762124400,996,1023,1.8,4.6,3.2,1762185600,225,13.9,20.3,9,1762178400,1762146000,78,9.9,73,0.0,0.0,0,0,115,2759,139,3340,538,274,6573,820,32,772,99,2.4
14,2025-11-04,1762210800,995,1023,1.2,4.4,3.6,1762268400,162,13.7,20.1,8,1762264800,1762232400,79,9.8,61,0.0,0.0,0,0,133,3197,137,3296,533,272,6532,818,32,767,99,3.4
15,2025-11-05,1762297200,991,1020,0.9,5.1,2.1,1762311600,165,13.9,19.0,9,1762347600,1762308000,89,12.1,78,0.3,0.3,0,0,99,2378,136,3252,528,270,6490,816,32,762,99,1.9
16,2025-11-06,1762383600,982,1010,2.5,9.0,6.0,1762434000,216,15.0,17.8,12,1762437600,1762466400,82,11.8,58,20.5,20.5,0,0,74,1785,134,3209,523,269,6447,814,32,756,98,2.6
17,2025-11-07,1762470000,985,1012,2.4,6.7,4.6,1762524000,265,13.2,18.2,9,1762531200,1762484400,73,8.3,50,0.0,0.0,0,0,126,3027,132,3167,518,267,6405,812,31,751,98,2.9
18,2025-11-08,1762556400,985,1013,1.7,6.0,3.6,1762614000,231,11.9,16.2,9,1762606800,1762639200,82,8.9,68,3.5,3.5,0,0,26,630,130,3126,514,265,6362,810,31,746,98,1.2
19,2025-11-09,1762642800,990,1018,2.1,6.7,3.6,1762678800,267,12.2,18.4,7,1762696800,1762668000,72,7.1,75,0.0,0.0,0,0,102,2456,129,3085,509,263,6319,808,31,741,97,2.9
