,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Oslo,2022-11-15,1668466800,1017,1021,13.4,30.9,20.8,1668549600,132,10.8,12.0,10.0,1668546000,1668470400,79,7.2,68,0.8,0.8,0.0,0,6,133,28,676,154,116,2778,525,13,317,58,0.6
1,Oslo,2022-11-16,1668553200,1017,1021,24.6,38.1,27.1,1668610800,140,10.8,12.0,10.0,1668553200,1668632400,55,2.0,83,0.0,0.0,0.0,0,7,170,27,650,150,113,2714,518,13,311,58,0.8
2,Oslo,2022-11-17,1668639600,1015,1019,13.7,34.4,24.0,1668643200,135,9.2,10.0,9.0,1668686400,1668708000,52,-0.2,87,0.0,0.0,0.0,0,8,191,26,625,145,110,2650,512,13,304,57,0.8
3,Oslo,2022-11-18,1668726000,1019,1023,8.9,18.2,13.6,1668780000,148,8.9,10.0,8.0,1668758400,1668787200,56,0.6,78,0.0,0.0,0.0,3,6,148,25,602,141,108,2586,506,12,298,56,0.7
4,Oslo,2022-11-19,1668812400,1020,1024,10.2,14.3,11.2,1668895200,155,7.3,8.0,7.0,1668816000,1668837600,58,-0.4,62,0.0,0.0,0.0,5,11,264,24,579,138,105,2522,500,12,292,56,1.0
5,Oslo,2022-11-20,1668898800,1013,1017,13.7,24.7,17.3,1668927600,149,6.1,7.0,5.0,1668920400,1668967200,62,-0.7,80,2.8,2.8,0.0,5,6,141,23,557,134,102,2458,494,12,285,55,0.6
6,Oslo,2022-11-21,1668985200,1004,1008,9.1,30.3,20.3,1669046400,101,5.0,7.0,2.0,1669032000,1669046400,61,-2.2,82,0.0,0.0,0.0,10,6,147,22,535,130,100,2394,488,12,279,54,0.6
7,Oslo,2022-11-22,1669071600,1004,1008,13.3,32.8,22.6,1669154400,125,5.3,8.0,3.0,1669154400,1669100400,51,-4.2,74,2.0,2.0,15.0,25,17,408,21,515,127,97,2331,482,11,273,54,1.3
8,Oslo,2022-11-23,1669158000,1006,1010,22.6,35.6,25.0,1669165200,138,8.8,10.0,8.0,1669240800,1669172400,60,1.3,88,8.0,8.0,20.0,45,2,50,21,495,123,95,2269,476,11,267,53,0.6
9,Oslo,2022-11-24,1669244400,1009,1013,20.8,36.1,25.4,1669269600,144,9.8,10.0,8.0,1669327200,1669269600,75,5.4,78,0.0,0.0,0.0,103,2,48,20,476,120,92,2208,470,11,261,52,0.6
10,Oslo,2022-11-25,1669330800,1015,1019,21.0,37.3,26.5,1669345200,153,9.9,11.0,8.0,1669341600,1669410000,83,7.1,84,0.0,0.0,0.0,116,2,46,19,459,117,90,2148,464,11,255,52,0.6
11,Oslo,2022-11-26,1669417200,1021,1025,17.9,35.7,25.0,1669500000,180,9.8,10.0,9.0,1669500000,1669420800,87,7.8,79,0.0,0.0,0.0,85,2,44,18,442,114,87,2090,458,10,249,51,0.6
12,Oslo,2022-11-27,1669503600,1019,1023,20.5,40.0,28.7,1669532400,173,10.1,11.0,10.0,1669521600,1669586400,88,8.1,72,1.5,1.5,0.0,70,2,43,18,425,111,85,2034,452,10,243,50,0.6
13,Oslo,2022-11-28,1669590000,1019,1023,16.8,30.1,20.1,1669633200,150,9.0,10.0,8.0,1669611600,1669633200,83,6.2,82,7.3,7.3,0.0,34,2,41,17,410,108,82,1980,447,10,237,50,0.6
