,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Caldes de Montbui,2023-11-15,1700002800,996,1023,2.2,5.1,3.5,1700053200,226,15.9,20.0,13.0,1700042400,1700010000,76,11.7,68,0.0,0.0,0,0,33,784,119,2856,482,252,6058,797,30,709,95,1.2
1,Caldes de Montbui,2023-11-16,1700089200,993,1021,2.4,8.4,5.8,1700136000,252,16.5,21.0,12.5,1700143200,1700172000,74,11.6,53,0.0,0.0,0,0,81,1949,118,2821,478,251,6014,795,29,704,95,1.9
2,Caldes de Montbui,2023-11-17,1700175600,996,1023,1.7,6.4,4.0,1700229600,199,14.7,19.0,12.0,1700218800,1700258400,76,10.3,57,0.0,0.0,0,0,46,1110,116,2786,474,249,5971,793,29,699,95,1.4
3,Caldes de Montbui,2023-11-18,1700262000,998,1026,1.8,6.4,4.2,1700308800,257,14.5,22.0,10.0,1700316000,1700276400,71,8.8,52,0.0,0.0,0,0,111,2656,115,2753,470,247,5928,792,29,694,94,3.0
4,Caldes de Montbui,2023-11-19,1700348400,995,1023,1.3,4.4,3.3,1700402400,206,13.4,22.0,8.0,1700398800,1700373600,69,7.3,31,0.0,0.0,0,0,111,2673,113,2720,466,245,5885,790,29,689,94,2.6
5,Caldes de Montbui,2023-11-20,1700434800,991,1019,1.3,4.0,3.4,1700492400,240,12.7,20.0,6.0,1700485200,1700460000,73,7.7,22,0.0,0.0,0,0,111,2665,112,2689,462,243,5843,788,29,684,94,3.0
6,Caldes de Montbui,2023-11-21,1700521200,987,1014,2.2,8.0,4.1,1700568000,214,13.7,19.0,9.0,1700578800,1700600400,60,5.7,55,1.5,1.5,0,0,91,2177,111,2658,459,242,5801,786,28,679,94,2.4
7,Caldes de Montbui,2023-11-22,1700607600,989,1016,2.9,12.5,6.0,1700658000,275,13.0,19.0,7.0,1700650800,1700690400,42,-0.8,7,0.0,0.0,0,0,109,2628,109,2628,455,240,5761,785,28,675,93,3.0
8,Caldes de Montbui,2023-11-23,1700694000,993,1021,2.3,6.5,5.7,1700740800,253,9.0,17.0,2.0,1700744400,1700719200,51,-1.4,1,0.0,0.0,0,0,108,2599,108,2599,452,238,5721,783,28,670,93,3.0
9,Caldes de Montbui,2023-11-24,1700780400,986,1013,1.9,7.7,6.5,1700830800,235,11.0,20.0,4.0,1700834400,1700798400,53,1.1,23,0.0,0.0,0,0,98,2361,107,2571,448,237,5683,782,28,665,93,2.8
10,Caldes de Montbui,2023-11-25,1700866800,986,1014,1.9,11.3,4.8,1700913600,211,11.1,17.0,5.0,1700917200,1700892000,69,5.4,42,0.0,0.0,0,0,84,2024,106,2545,445,235,5647,780,28,660,92,2.3
11,Caldes de Montbui,2023-11-26,1700953200,990,1018,1.4,6.0,2.9,1701010800,188,11.0,14.0,8.0,1701000000,1701028800,70,5.7,83,0.0,0.0,0,0,32,773,105,2519,442,234,5613,779,27,656,92,1.0
12,Caldes de Montbui,2023-11-27,1701039600,984,1012,2.3,6.3,5.6,1701104400,258,10.8,16.0,6.0,1701097200,1701050400,68,4.6,53,3.8,3.8,0,0,69,1645,104,2494,439,233,5581,777,27,651,92,1.6
13,Caldes de Montbui,2023-11-28,1701126000,980,1007,1.9,7.6,4.5,1701140400,228,11.8,18.0,8.0,1701180000,1701205200,69,6.0,39,0.0,0.0,0,0,86,2064,103,2471,436,231,5553,776,27,646,92,2.1
14,Caldes de Montbui,2023-11-29,1701212400,981,1008,0.8,6.8,2.8,1701219600,179,10.9,13.0,9.0,1701266400,1701295200,90,9.4,83,1.3,1.3,0,0,21,501,102,2448,433,230,5528,774,27,642,92,0.9
15,Caldes de Montbui,2023-11-30,1701298800,974,1001,3.0,13.4,6.7,1701381600,196,14.8,23.0,8.0,1701349200,1701313200,72,9.0,50,1.3,1.3,0,0,91,2174,101,2427,430,229,5506,773,27,638,91,2.5
16,Caldes de Montbui,2023-12-01,1701385200,970,997,3.6,15.4,9.3,1701450000,223,14.4,18.0,8.0,1701388800,1701468000,69,8.6,34,4.5,4.5,0,0,36,853,100,2407,428,229,5485,772,26,635,91,1.0
17,Caldes de Montbui,2023-12-02,1701471600,983,1010,2.7,8.8,5.1,1701486000,262,9.9,15.0,5.0,1701525600,1701550800,61,2.5,11,0.0,0.0,0,0,99,2387,99,2387,425,228,5466,771,26,632,91,2.2
18,Caldes de Montbui,2023-12-03,1701558000,993,1021,1.6,6.8,3.0,1701608400,261,7.2,13.0,2.0,1701608400,1701583200,70,1.8,49,0.0,0.0,0,0,74,1786,99,2369,423,227,5447,769,26,630,91,1.5
19,Caldes de Montbui,2023-12-04,1701644400,987,1015,3.2,11.6,8.5,1701694800,230,10.0,15.0,6.0,1701698400,1701651600,61,2.5,37,2.5,2.5,0,0,85,2047,98,2352,421,226,5429,768,26,628,91,2.0
20,Caldes de Montbui,2023-12-05,1701730800,989,1016,1.9,6.0,3.8,1701748800,249,9.0,13.0,5.0,1701777600,1701806400,68,3.3,54,0.0,0.0,0,0,38,913,97,2335,419,226,5413,767,26,626,90,1.1
21,Caldes de Montbui,2023-12-06,1701817200,989,1017,1.4,5.6,3.1,1701874800,227,7.9,14.0,3.0,1701867600,1701900000,69,2.2,70,0.0,0.0,0,0,72,1734,97,2320,417,225,5397,766,26,624,90,1.4
22,Caldes de Montbui,2023-12-07,1701903600,990,1018,2.3,8.4,5.7,1701982800,249,8.8,16.0,2.0,1701961200,1701925200,67,2.5,64,2.0,2.0,0,0,61,1457,96,2306,415,224,5382,765,26,622,90,1.6
23,Caldes de Montbui,2023-12-08,1701990000,986,1013,2.2,6.8,4.4,1701990000,253,11.2,16.0,6.0,1702040400,1702069200,75,6.8,36,2.5,2.5,0,0,75,1794,96,2292,413,224,5369,765,26,620,90,1.8
24,Caldes de Montbui,2023-12-09,1702076400,992,1020,2.5,9.2,5.6,1702130400,268,10.1,17.0,4.0,1702130400,1702083600,66,3.5,48,1.0,1.0,0,0,39,925,95,2280,412,223,5357,764,26,619,90,1.2
25,Caldes de Montbui,2023-12-10,1702162800,994,1021,1.6,6.4,4.0,1702209600,249,12.0,19.0,6.0,1702209600,1702184400,72,6.9,65,0.0,0.0,0,0,72,1724,95,2268,410,223,5346,763,26,617,90,1.9
26,Caldes de Montbui,2023-12-11,1702249200,991,1018,2.6,7.2,5.8,1702303200,264,14.2,19.0,10.0,1702299600,1702252800,71,8.8,81,0.0,0.0,0,0,31,740,94,2258,409,222,5336,762,26,616,90,0.7
27,Caldes de Montbui,2023-12-12,1702335600,987,1014,3.5,8.0,5.8,1702393200,256,15.3,18.0,11.0,1702382400,1702339200,61,7.6,98,0.0,0.0,0,0,26,620,94,2249,408,222,5327,762,26,615,89,0.7
28,Caldes de Montbui,2023-12-13,1702422000,982,1009,4.5,14.1,9.2,1702472400,249,14.2,16.0,10.0,1702447200,1702504800,54,4.7,47,0.5,0.5,0,0,32,767,93,2240,407,222,5319,761,26,614,89,1.0
29,Caldes de Montbui,2023-12-14,1702508400,991,1018,3.1,8.4,7.0,1702555200,266,10.5,17.0,4.5,1702562400,1702591200,53,0.2,7,0.0,0.0,0,0,93,2233,93,2233,406,221,5313,761,26,613,89,2.2
30,Caldes de Montbui,2023-12-15,1702594800,1003,1031,1.8,5.6,3.5,1702645200,272,8.6,16.0,3.0,1702648800,1702605600,62,1.2,6,0.0,0.0,0,0,93,2224,93,2227,405,221,5308,761,26,612,89,2.2
31,Caldes de Montbui,2023-12-16,1702681200,1008,1036,1.3,4.0,2.9,1702753200,247,7.0,15.0,2.0,1702738800,1702710000,74,2.3,20,0.0,0.0,0,0,88,2100,93,2222,405,221,5304,760,25,612,89,1.7
32,Caldes de Montbui,2023-12-17,1702767600,1009,1038,1.5,5.2,3.0,1702821600,236,5.8,14.0,0.0,1702818000,1702796400,72,0.5,5,0.0,0.0,0,0,92,2217,92,2217,404,221,5301,760,25,611,89,2.2
33,Caldes de Montbui,2023-12-18,1702854000,1007,1035,1.4,4.0,2.6,1702918800,250,5.5,16.0,-1.0,1702911600,1702879200,64,-1.6,0,0.0,0.0,0,0,92,2214,92,2214,404,221,5300,760,25,611,89,2.2
34,Caldes de Montbui,2023-12-19,1702940400,1000,1028,1.6,5.2,3.4,1702994400,264,7.8,18.0,0.0,1702990800,1702962000,53,-2.2,1,0.0,0.0,0,0,92,2212,92,2212,404,221,5300,760,25,611,89,2.2
35,Caldes de Montbui,2023-12-20,1703026800,993,1021,1.3,4.8,2.5,1703080800,239,6.9,14.0,2.0,1703084400,1703037600,62,0.0,52,0.0,0.0,0,0,46,1097,92,2211,404,221,5301,760,25,611,89,1.4
36,Caldes de Montbui,2023-12-21,1703113200,993,1021,3.0,8.5,7.2,1703188800,255,9.0,17.0,1.0,1703170800,1703142000,60,1.5,10,0.0,0.0,0,0,90,2168,92,2211,404,221,5303,760,25,611,89,1.8
37,Caldes de Montbui,2023-12-22,1703199600,993,1020,3.5,11.2,9.1,1703199600,276,13.8,21.0,8.0,1703253600,1703278800,56,4.7,5,0.0,0.0,0,0,92,2212,92,2212,404,221,5307,760,25,612,89,2.2
38,Caldes de Montbui,2023-12-23,1703286000,996,1024,2.6,7.4,6.4,1703336400,296,9.2,15.0,5.0,1703336400,1703368800,67,3.1,8,0.0,0.0,0,0,91,2190,92,2214,404,221,5312,761,26,612,89,2.1
39,Caldes de Montbui,2023-12-24,1703372400,995,1024,1.6,5.2,3.4,1703415600,273,7.5,16.0,2.0,1703426400,1703397600,72,2.3,4,0.0,0.0,0,0,92,2217,92,2218,405,222,5318,761,26,613,89,2.2
40,Caldes de Montbui,2023-12-25,1703458800,993,1022,1.2,4.4,2.4,1703523600,257,6.4,17.0,0.0,1703512800,1703487600,65,-0.6,1,0.0,0.0,0,0,93,2222,93,2222,405,222,5325,761,26,614,89,2.2
41,Caldes de Montbui,2023-12-26,1703545200,994,1022,1.4,5.2,2.5,1703613600,246,6.8,18.0,-1.0,1703599200,1703570400,56,-2.2,2,0.0,0.0,0,0,93,2226,93,2227,406,222,5334,762,26,615,89,2.2
42,Caldes de Montbui,2023-12-27,1703631600,995,1023,1.2,6.0,2.5,1703685600,251,7.2,18.0,-1.0,1703682000,1703656800,52,-2.9,0,0.0,0.0,0,0,93,2234,93,2234,407,223,5344,762,26,616,89,2.2
43,Caldes de Montbui,2023-12-28,1703718000,997,1025,1.1,6.4,3.5,1703764800,213,5.8,13.0,0.0,1703768400,1703746800,65,-0.6,44,0.0,0.0,0,0,28,674,93,2241,408,223,5355,763,26,617,90,0.9
44,Caldes de Montbui,2023-12-29,1703804400,995,1023,1.0,3.6,2.1,1703883600,260,7.0,13.0,3.0,1703854800,1703829600,61,-0.2,86,0.0,0.0,0,0,49,1178,94,2249,409,224,5367,764,26,618,90,1.3
45,Caldes de Montbui,2023-12-30,1703890800,992,1020,1.3,5.6,2.2,1703952000,264,7.3,16.0,1.0,1703944800,1703916000,70,1.8,36,0.0,0.0,0,0,94,2258,94,2259,410,224,5380,765,26,620,90,2.1
46,Caldes de Montbui,2023-12-31,1703977200,987,1015,3.0,10.0,7.0,1704024000,255,9.9,17.0,5.0,1704024000,1704006000,66,3.5,71,0.0,0.0,0,0,43,1040,95,2270,412,225,5394,765,26,621,90,1.4
47,Caldes de Montbui,2024-01-01,1704063600,991,1019,1.3,10.3,3.0,1704121200,203,7.1,13.0,3.0,1704114000,1704146400,80,3.7,31,0.0,0.0,0,0,46,1113,95,2272,412,225,5398,766,26,622,90,1.1
48,Caldes de Montbui,2024-01-02,1704150000,990,1018,3.8,10.8,6.9,1704218400,243,9.5,15.0,2.0,1704196800,1704153600,55,0.0,84,1.3,1.3,0,0,29,702,95,2284,414,226,5413,767,26,624,90,0.7
49,Caldes de Montbui,2024-01-03,1704236400,987,1014,3.1,10.0,4.7,1704290400,252,14.4,17.0,10.5,1704286800,1704319200,61,7.0,77,1.0,1.0,0,0,55,1309,96,2297,416,226,5430,768,26,626,90,1.6
50,Caldes de Montbui,2024-01-04,1704322800,987,1015,1.3,5.6,2.4,1704380400,230,10.2,15.0,6.0,1704373200,1704340800,82,7.2,66,0.0,0.0,0,0,52,1237,96,2311,417,227,5448,769,26,628,90,1.2
51,Caldes de Montbui,2024-01-05,1704409200,977,1004,1.5,6.4,4.0,1704456000,234,10.2,13.0,8.0,1704459600,1704492000,81,6.8,87,8.0,8.0,0,0,59,1428,97,2326,419,228,5466,770,26,630,91,1.5
52,Caldes de Montbui,2024-01-06,1704495600,980,1008,3.4,9.8,6.6,1704553200,265,8.5,14.0,3.0,1704549600,1704524400,58,-0.1,32,0.0,0.0,0,0,97,2339,98,2342,422,229,5486,771,26,632,91,2.2
53,Caldes de Montbui,2024-01-07,1704582000,984,1012,4.7,12.0,9.0,1704625200,271,8.0,13.0,3.0,1704632400,1704603600,40,-6.0,13,0.0,0.0,0,0,98,2358,98,2359,424,229,5506,772,26,635,91,2.3
54,Caldes de Montbui,2024-01-08,1704668400,987,1015,1.7,7.2,3.0,1704711600,249,5.8,12.0,0.5,1704722400,1704751200,43,-6.4,4,0.0,0.0,0,0,99,2377,99,2377,426,230,5528,774,27,637,91,2.3
55,Caldes de Montbui,2024-01-09,1704754800,992,1021,1.2,4.9,2.4,1704830400,235,3.7,11.0,-2.0,1704801600,1704776400,73,-0.8,62,0.0,0.0,0,0,58,1386,100,2396,429,231,5550,775,27,640,91,1.2
56,Caldes de Montbui,2024-01-10,1704841200,991,1019,0.8,5.6,2.0,1704852000,208,5.9,9.0,3.0,1704891600,1704924000,86,3.7,80,1.5,1.5,0,0,21,499,101,2416,431,232,5573,776,27,643,92,0.7
57,Caldes de Montbui,2024-01-11,1704927600,992,1020,1.7,6.4,3.4,1704981600,253,6.8,12.0,3.0,1704978000,1704931200,79,3.3,76,0.0,0.0,0,0,72,1717,102,2437,434,233,5597,778,27,645,92,1.7
58,Caldes de Montbui,2024-01-12,1705014000,996,1025,2.2,6.9,6.0,1705068000,271,5.8,11.0,2.0,1705071600,1705035600,73,1.0,22,1.0,1.0,0,0,102,2459,102,2459,437,234,5621,779,27,648,92,2.4
59,Caldes de Montbui,2024-01-13,1705100400,995,1024,1.8,6.0,3.8,1705154400,254,6.0,13.0,-1.0,1705154400,1705122000,68,0.1,27,0.0,0.0,0,0,103,2463,103,2482,440,235,5647,781,27,652,92,2.4
60,Caldes de Montbui,2024-01-14,1705186800,987,1015,2.6,7.2,6.1,1705255200,232,10.2,16.0,4.0,1705237200,1705201200,59,2.3,68,2.0,2.0,0,0,78,1863,104,2506,443,236,5673,783,27,655,93,2.2
61,Caldes de Montbui,2024-01-15,1705273200,982,1010,2.4,7.1,6.1,1705320000,266,10.9,16.0,6.0,1705334400,1705294800,75,6.4,57,1.0,1.0,0,0,30,721,105,2531,446,237,5699,784,27,658,93,0.8
62,Caldes de Montbui,2024-01-16,1705359600,982,1010,1.4,6.4,3.7,1705402800,221,10.7,16.0,6.0,1705417200,1705366800,82,7.7,58,0.5,0.5,0,0,28,661,107,2557,450,239,5726,786,28,661,93,0.8
63,Caldes de Montbui,2024-01-17,1705446000,975,1002,3.7,13.9,6.9,1705496400,234,13.9,19.0,9.0,1705503600,1705474800,72,8.6,30,7.0,7.0,0,0,99,2365,108,2584,453,240,5754,788,28,665,93,2.2
64,Caldes de Montbui,2024-01-18,1705532400,978,1005,6.1,16.3,10.5,1705582800,247,15.7,19.0,9.0,1705579200,1705611600,52,5.6,21,0.0,0.0,0,0,105,2526,109,2612,457,241,5782,790,28,668,94,2.1
65,Caldes de Montbui,2024-01-19,1705618800,984,1012,1.8,7.6,3.8,1705640400,146,8.7,13.0,5.0,1705618800,1705690800,82,5.6,91,8.0,8.0,0,0,21,506,110,2640,460,242,5811,792,28,672,94,0.8
66,Caldes de Montbui,2024-01-20,1705705200,996,1024,1.3,8.8,3.6,1705766400,219,6.9,12.0,2.0,1705752000,1705734000,76,2.4,53,0.0,0.0,0,0,109,2619,111,2670,464,243,5840,793,28,676,94,2.6
