,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del viento,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,A Coruña,2022-11-15,1668466800,999,1007,5.8,16.5,8.4,1668549600,229,15.0,17.0,13.3,1668549600,1668546000,80,11.5,74,18.5,18.5,0,0,101,2423,109,2610,450,239,5744,780,28,674,93,2.1
1,A Coruña,2022-11-16,1668553200,996,1004,8.0,16.7,11.2,1668574800,226,16.1,18.8,14.4,1668553200,1668636000,79,12.4,85,3.5,3.5,0,0,30,721,107,2575,446,237,5700,778,28,668,93,1.1
2,A Coruña,2022-11-17,1668639600,999,1007,5.1,14.0,7.0,1668672000,245,14.5,15.8,12.6,1668639600,1668715200,78,10.7,55,10.3,10.3,0,0,83,1983,106,2541,442,236,5657,776,28,663,92,1.9
3,A Coruña,2022-11-18,1668726000,1009,1017,5.4,14.3,7.1,1668772800,283,12.5,14.1,11.5,1668772800,1668758400,72,7.6,42,12.5,12.5,0,0,92,2202,105,2508,438,234,5615,774,27,657,92,2.0
4,A Coruña,2022-11-19,1668812400,1013,1022,3.6,12.6,5.8,1668819600,236,11.9,14.4,10.6,1668895200,1668848400,84,9.3,73,15.5,15.5,0,0,22,520,103,2476,434,232,5574,772,27,652,92,1.0
5,A Coruña,2022-11-20,1668898800,1012,1020,2.7,14.7,6.3,1668981600,209,15.4,16.9,14.4,1668945600,1668974400,86,13.0,78,16.3,16.3,0,0,36,869,102,2445,430,231,5535,770,27,646,91,1.2
6,A Coruña,2022-11-21,1668985200,1006,1014,8.0,18.9,10.1,1669042800,266,13.9,17.1,10.6,1668985200,1669068000,77,9.9,65,13.3,13.3,0,0,56,1355,101,2415,426,229,5498,768,27,641,91,1.7
7,A Coruña,2022-11-22,1669071600,1002,1010,5.6,16.5,8.3,1669118400,219,13.9,17.5,9.8,1669150800,1669078800,85,11.4,87,32.3,32.3,0,0,19,453,99,2385,422,228,5461,766,26,636,91,0.9
8,A Coruña,2022-11-23,1669158000,1004,1012,5.7,18.1,9.2,1669161600,233,15.2,17.2,13.0,1669158000,1669194000,76,10.8,60,17.0,17.0,0,0,82,1967,98,2357,418,226,5426,764,26,631,90,1.8
9,A Coruña,2022-11-24,1669244400,1006,1014,4.0,11.4,6.0,1669298400,214,14.0,16.5,12.2,1669291200,1669327200,81,10.7,68,12.5,12.5,0,0,43,1033,97,2330,415,225,5392,762,26,626,90,1.2
10,A Coruña,2022-11-25,1669330800,1017,1025,2.8,7.8,4.4,1669330800,194,13.1,16.4,11.2,1669377600,1669413600,74,8.5,57,0.3,0.3,0,0,67,1618,96,2303,411,223,5358,760,26,622,90,2.2
11,A Coruña,2022-11-26,1669417200,1017,1025,3.1,9.0,4.9,1669456800,176,14.0,17.5,10.3,1669471200,1669420800,62,6.6,69,0.0,0.0,0,0,45,1071,95,2278,408,222,5325,758,26,618,89,1.5
12,A Coruña,2022-11-27,1669503600,1013,1021,4.9,10.8,6.7,1669579200,221,13.8,15.4,12.2,1669503600,1669586400,75,9.2,65,42.5,42.5,0,0,27,654,94,2253,404,220,5292,756,26,614,89,1.3
