,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento máx.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del viento,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la nieve,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta,Year,Mes,Estacion
0,Palma del Río,2022-11-15,1668466800,1011,1018,4.8,14.4,7.2,1668542400,224,18.3,21.5,16.3,1668517200,1668495600,80,14.6,91,1.3,1.3,0,0,67,1599,139,3325,551,266,6379,828,31,756,101,2.3,2022,11,Otoño
1,Palma del Río,2022-11-16,1668553200,1009,1015,4.0,12.0,5.6,1668553200,241,17.3,18.1,15.9,1668553200,1668582000,85,14.7,97,20.0,20.0,0,0,35,851,137,3291,547,264,6348,827,31,751,101,1.2,2022,11,Otoño
2,Palma del Río,2022-11-17,1668639600,1008,1015,5.1,12.4,6.8,1668682800,238,18.2,20.4,16.7,1668690000,1668664800,83,15.1,88,0.0,0.0,0,0,65,1565,136,3258,543,263,6318,825,31,747,100,1.6,2022,11,Otoño
3,Palma del Río,2022-11-18,1668726000,1010,1016,3.5,10.8,6.0,1668783600,285,14.5,17.8,11.1,1668780000,1668808800,71,9.0,50,12.3,12.3,0,0,91,2178,134,3226,539,262,6289,824,31,743,100,2.4,2022,11,Otoño
4,Palma del Río,2022-11-19,1668812400,1016,1022,4.1,11.6,6.0,1668870000,308,12.3,17.0,8.5,1668862800,1668837600,65,5.6,50,1.5,1.5,0,0,110,2651,133,3195,535,261,6261,822,31,739,100,2.3,2022,11,Otoño
5,Palma del Río,2022-11-20,1668898800,1020,1026,1.8,5.6,2.8,1668906000,263,12.7,16.3,9.6,1668956400,1668927600,77,8.7,85,0.5,0.5,0,0,33,791,132,3165,532,260,6235,821,31,735,100,1.1,2022,11,Otoño
6,Palma del Río,2022-11-21,1668985200,1015,1022,3.7,14.0,7.2,1669050000,233,13.5,18.1,9.6,1669050000,1668985200,87,11.3,86,2.0,2.0,0,0,21,500,131,3135,528,259,6210,819,30,731,99,1.1,2022,11,Otoño
7,Palma del Río,2022-11-22,1669071600,1015,1022,3.2,9.6,5.2,1669129200,253,13.2,15.9,10.4,1669122000,1669093200,81,9.9,99,5.8,5.8,0,0,34,819,129,3107,524,258,6186,818,30,727,99,1.1,2022,11,Otoño
8,Palma del Río,2022-11-23,1669158000,1013,1020,4.2,11.2,6.0,1669208400,240,17.5,21.1,15.2,1669212000,1669172400,77,13.3,91,2.0,2.0,0,0,67,1620,128,3079,521,257,6163,817,30,723,99,1.7,2022,11,Otoño
9,Palma del Río,2022-11-24,1669244400,1014,1020,2.1,6.8,3.6,1669302000,202,16.3,18.5,14.8,1669302000,1669327200,85,13.8,87,0.0,0.0,0,0,32,770,127,3052,517,256,6141,815,30,719,99,1.1,2022,11,Otoño
10,Palma del Río,2022-11-25,1669330800,1018,1024,2.3,7.6,4.0,1669413600,157,15.9,20.7,13.3,1669388400,1669330800,73,10.6,51,0.3,0.3,0,0,98,2350,126,3026,514,255,6119,814,30,716,98,3.2,2022,11,Otoño
11,Palma del Río,2022-11-26,1669417200,1021,1028,2.9,6.8,4.0,1669456800,63,14.0,21.1,8.9,1669474800,1669500000,55,4.9,22,0.0,0.0,0,0,125,3001,125,3001,511,254,6098,813,30,712,98,3.4,2022,11,Otoño
12,Palma del Río,2022-11-27,1669503600,1017,1024,1.7,4.4,2.8,1669543200,132,13.2,20.7,7.8,1669561200,1669532400,62,5.7,81,0.0,0.0,0,0,57,1375,124,2977,508,253,6078,811,30,709,98,1.3,2022,11,Otoño
13,Palma del Río,2022-11-28,1669590000,1017,1024,3.1,9.6,5.2,1669615200,324,13.1,18.1,9.3,1669647600,1669672800,59,4.4,7,0.0,0.0,0,0,123,2949,123,2953,505,252,6058,810,29,707,98,3.4,2022,11,Otoño
14,Palma del Río,2022-11-29,1669676400,1015,1022,2.1,6.4,2.8,1669723200,26,10.3,17.4,4.1,1669734000,1669701600,62,2.5,23,0.0,0.0,0,0,111,2671,122,2931,502,252,6038,809,29,704,97,3.4,2022,11,Otoño
15,Palma del Río,2022-11-30,1669762800,1010,1017,1.3,4.0,2.4,1669806000,112,9.2,15.9,3.3,1669820400,1669784400,68,3.2,69,4.3,4.3,0,0,42,1019,121,2909,499,251,6019,808,29,702,97,1.3,2022,11,Otoño
16,Palma del Río,2022-12-01,1669849200,1006,1013,1.3,5.6,2.0,1669888800,118,12.4,17.0,8.9,1669906800,1669932000,67,6.2,52,0.5,0.5,0,0,115,2771,120,2889,496,250,6000,807,29,699,97,2.4,2022,12,Invierno
17,Palma del Río,2022-12-02,1669935600,1004,1011,1.7,6.4,2.8,1669975200,51,10.3,17.0,5.6,1669993200,1669960800,71,4.9,7,0.0,0.0,0,0,119,2868,120,2869,494,249,5982,806,29,697,97,2.8,2022,12,Invierno
18,Palma del Río,2022-12-03,1670022000,1002,1008,1.5,6.0,2.4,1670058000,114,10.4,16.7,4.4,1670076000,1670047200,75,5.9,32,5.8,5.8,0,0,118,2835,119,2850,492,249,5965,805,29,695,97,2.7,2022,12,Invierno
19,Palma del Río,2022-12-04,1670108400,1003,1010,2.1,6.4,2.8,1670119200,169,13.2,16.7,11.5,1670166000,1670130000,81,9.7,79,0.8,0.8,0,0,96,2298,118,2832,489,248,5948,804,29,693,96,1.9,2022,12,Invierno
20,Palma del Río,2022-12-05,1670194800,1004,1010,2.8,9.6,4.4,1670220000,104,13.1,14.4,12.2,1670248800,1670216400,85,10.7,100,22.8,22.8,0,0,22,537,117,2815,487,247,5932,803,29,691,96,0.8,2022,12,Invierno
21,Palma del Río,2022-12-06,1670281200,1008,1015,1.8,6.0,2.8,1670284800,179,13.8,15.9,12.6,1670335200,1670360400,87,11.5,95,0.5,0.5,0,0,30,730,117,2799,485,247,5916,802,29,689,96,0.8,2022,12,Invierno
22,Palma del Río,2022-12-07,1670367600,1007,1013,2.2,6.4,3.6,1670414400,86,12.8,15.9,10.4,1670425200,1670396400,87,10.5,94,6.3,6.3,0,0,38,908,116,2784,483,246,5901,801,29,687,96,0.9,2022,12,Invierno
23,Palma del Río,2022-12-08,1670454000,998,1005,4.4,14.0,7.2,1670508000,179,14.5,15.9,13.7,1670508000,1670482800,88,12.5,96,29.3,29.3,0,0,29,696,115,2770,481,245,5887,801,29,685,96,0.9,2022,12,Invierno
