,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Paris,2022-11-15,1668466800,995,1004,3.3,10.2,4.1,1668513600,198,10.8,12.9,7.9,1668531600,1668481200,91,9.4,97,11.5,11.5,0.0,0,10,249,80,1918,350,203,4881,719,23,562,84,0.8
1,Paris,2022-11-16,1668553200,987,997,4.6,15.9,7.2,1668625200,199,10.9,13.4,8.3,1668603600,1668567600,90,9.2,78,6.3,6.3,0.0,0,25,600,79,1885,345,201,4836,716,23,557,83,1.4
2,Paris,2022-11-17,1668639600,983,992,4.6,18.7,7.2,1668643200,244,12.0,13.6,9.9,1668693600,1668722400,77,7.9,75,0.5,0.5,0.0,0,60,1442,77,1853,341,200,4792,714,23,551,83,1.5
3,Paris,2022-11-18,1668726000,995,1004,3.2,9.8,5.1,1668726000,258,9.6,12.6,7.6,1668780000,1668754800,80,6.3,49,0.3,0.3,0.0,0,57,1375,76,1822,337,198,4750,711,23,546,82,1.6
4,Paris,2022-11-19,1668812400,1003,1012,2.4,8.5,3.7,1668870000,293,8.5,11.3,6.3,1668862800,1668823200,81,5.2,36,0.3,0.3,0.0,0,69,1667,75,1792,333,196,4710,708,23,540,82,2.0
5,Paris,2022-11-20,1668898800,1003,1013,3.2,12.5,5.4,1668945600,246,7.7,10.1,5.1,1668956400,1668927600,83,4.9,64,0.0,0.0,0.0,0,21,508,73,1763,329,195,4671,706,22,535,82,1.3
6,Paris,2022-11-21,1668985200,992,1001,3.4,11.7,5.8,1669039200,205,7.1,8.6,5.5,1668985200,1669068000,90,5.5,91,5.5,5.5,0.0,0,12,283,72,1735,325,193,4635,703,22,529,81,0.7
7,Paris,2022-11-22,1669071600,987,996,4.3,15.5,6.1,1669114800,226,8.1,10.9,4.8,1669125600,1669078800,79,4.5,65,1.5,1.5,0.0,0,35,834,71,1708,322,192,4601,700,22,524,81,1.4
8,Paris,2022-11-23,1669158000,991,1000,3.8,11.3,5.5,1669197600,210,8.4,12.8,5.7,1669212000,1669165200,86,6.1,38,3.5,3.5,0.0,0,35,833,70,1682,318,190,4567,698,22,519,80,1.8
9,Paris,2022-11-24,1669244400,1001,1011,3.9,12.9,5.3,1669251600,208,10.0,12.1,7.0,1669294800,1669273200,84,7.3,54,0.8,0.8,0.0,0,35,841,69,1656,314,189,4534,695,21,515,80,1.6
