,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Caldes de Montbui,2021-11-15,1636930800,987,1015,1.2,10.0,2.7,1636981200,234,10.8,14,8.0,1636984800,1636956000,85,8.3,52,2.0,2.0,0,0,61,1465,119,2856,482,252,6058,797,30,709,95,1.5
1,Caldes de Montbui,2021-11-16,1637017200,989,1017,1.2,7.6,2.7,1637071200,285,9.0,13,6.0,1637074800,1637042400,86,6.7,66,4.0,4.0,0,0,39,942,118,2821,478,251,6014,795,29,704,95,1.0
2,Caldes de Montbui,2021-11-17,1637103600,992,1020,1.9,4.9,4.4,1637146800,287,9.0,15,5.0,1637154000,1637114400,79,5.2,16,0.0,0.0,0,0,116,2785,116,2786,474,249,5971,793,29,699,95,2.9
3,Caldes de Montbui,2021-11-18,1637190000,998,1026,1.3,4.8,3.0,1637247600,241,9.0,16,4.0,1637240400,1637211600,77,5.0,43,0.5,0.5,0,0,109,2615,115,2753,470,247,5928,792,29,694,94,2.9
4,Caldes de Montbui,2021-11-19,1637276400,1001,1029,1.3,4.0,2.9,1637334000,241,8.8,17,3.0,1637326800,1637301600,82,5.6,8,0.0,0.0,0,0,113,2720,113,2720,466,245,5885,790,29,689,94,3.1
5,Caldes de Montbui,2021-11-20,1637362800,996,1024,1.0,4.4,2.0,1637413200,269,9.0,15,4.0,1637416800,1637388000,84,6.3,79,2.8,2.8,0,0,31,741,112,2689,462,243,5843,788,29,684,94,1.0
6,Caldes de Montbui,2021-11-21,1637449200,986,1014,1.2,4.0,3.0,1637506800,232,11.4,17,7.0,1637499600,1637478000,83,8.3,67,2.3,2.3,0,0,43,1032,111,2658,459,242,5801,786,28,679,94,1.1
7,Caldes de Montbui,2021-11-22,1637535600,984,1011,1.2,9.2,2.3,1637582400,141,10.8,14,7.0,1637589600,1637560800,82,7.8,70,1.8,1.8,0,0,38,920,109,2628,455,240,5761,785,28,675,93,1.4
8,Caldes de Montbui,2021-11-23,1637622000,986,1014,3.1,11.6,6.0,1637665200,65,11.2,13,10.0,1637668800,1637643600,79,7.5,84,40.8,40.8,0,0,25,597,108,2599,452,238,5721,783,28,670,93,1.0
9,Caldes de Montbui,2021-11-24,1637708400,983,1011,2.4,13.2,4.5,1637744400,168,9.8,13,7.0,1637762400,1637784000,92,8.5,70,15.5,15.5,0,0,16,375,107,2571,448,237,5683,782,28,665,93,0.9
