,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Guatire,2021-11-15,1636948800,976,1013,2.0,10.4,3.6,1636981200,66,24.1,31.1,20.4,1636999200,1636966800,83,20.6,38,0.0,0.0,0,0,275,6601,277,6646,952,372,8938,961,45,1075,122,7.7
1,Guatire,2021-11-16,1637035200,976,1013,2.2,10.8,4.0,1637067600,102,23.6,30.4,19.6,1637089200,1637053200,84,20.3,59,0.0,0.0,0,0,268,6424,276,6627,950,372,8930,961,45,1074,122,6.9
2,Guatire,2021-11-17,1637121600,976,1013,1.5,11.2,2.8,1637164800,130,23.5,30.7,18.5,1637168400,1637143200,84,20.2,100,3.8,3.8,0,0,65,1554,275,6607,948,372,8923,960,45,1073,122,2.9
3,Guatire,2021-11-18,1637208000,975,1012,1.9,9.6,3.2,1637236800,122,24.2,31.1,20.0,1637251200,1637226000,83,20.8,94,6.0,6.0,0,0,100,2391,275,6588,945,371,8915,960,45,1072,122,3.3
4,Guatire,2021-11-19,1637294400,975,1012,1.5,8.4,2.4,1637330400,146,24.4,30.0,20.0,1637337600,1637301600,84,21.3,48,0.0,0.0,0,0,266,6385,274,6570,943,371,8908,960,45,1070,122,7.4
5,Guatire,2021-11-20,1637380800,975,1012,1.5,8.8,2.4,1637431200,135,24.9,31.5,20.7,1637424000,1637395200,82,21.2,50,1.3,1.3,0,0,266,6385,273,6551,941,371,8901,960,45,1069,122,7.8
6,Guatire,2021-11-21,1637467200,976,1012,1.2,7.2,2.0,1637496000,130,25.4,31.9,20.7,1637524800,1637503200,79,20.8,84,0.0,0.0,0,0,158,3783,272,6533,939,371,8893,960,45,1068,122,3.7
7,Guatire,2021-11-22,1637553600,975,1012,1.1,6.8,2.4,1637589600,165,24.9,31.9,20.4,1637607600,1637571600,81,21.0,76,1.0,1.0,0,0,194,4665,271,6516,937,370,8886,959,44,1067,122,5.7
8,Guatire,2021-11-23,1637640000,975,1012,1.0,6.8,2.0,1637676000,171,24.4,32.6,20.7,1637683200,1637650800,86,21.6,85,21.0,21.0,0,0,83,2003,271,6499,935,370,8878,959,44,1066,122,2.8
9,Guatire,2021-11-24,1637726400,976,1013,0.9,8.4,1.6,1637755200,150,24.6,31.1,21.1,1637776800,1637744400,87,22.0,97,23.8,23.8,0,0,85,2029,270,6482,933,370,8871,959,44,1065,122,3.1
10,Guatire,2021-11-25,1637812800,976,1012,1.3,8.0,2.4,1637845200,125,24.4,31.5,20.7,1637859600,1637830800,85,21.3,75,0.0,0.0,0,0,237,5700,269,6466,931,369,8864,959,44,1064,122,6.3
11,Guatire,2021-11-26,1637899200,975,1012,1.2,7.2,2.4,1637928000,95,24.8,31.9,21.1,1637949600,1637917200,84,21.4,99,0.0,0.0,0,0,67,1612,269,6450,929,369,8856,959,44,1064,121,2.7
12,Guatire,2021-11-27,1637985600,976,1012,1.3,8.4,3.2,1638021600,111,25.4,32.6,20.7,1638036000,1638003600,83,21.7,77,0.0,0.0,0,0,180,4319,268,6434,927,369,8849,959,44,1063,121,4.1
