,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Oslo,2021-11-15,1636930800,1017,1029,1.7,8.4,4.2,1637013600,216,3.5,7.2,0.5,1637013600,1636930800,95,2.8,100,0.3,0.3,1.8,2,3,68,28,676,154,116,2778,525,13,317,58,0.6
1,Oslo,2021-11-16,1637017200,1006,1018,3.3,11.2,4.2,1637096400,208,7.7,8.7,6.7,1637064000,1637031600,90,6.0,87,0.0,0.0,0.0,1,3,65,27,650,150,113,2714,518,13,311,58,0.6
2,Oslo,2021-11-17,1637103600,993,1005,2.9,10.5,5.3,1637132400,205,5.8,8.2,0.3,1637146800,1637186400,89,4.2,63,1.5,1.5,0.0,0,12,284,26,625,145,110,2650,512,13,304,57,1.6
3,Oslo,2021-11-18,1637190000,993,1005,1.2,6.0,1.8,1637236800,152,2.1,4.5,-1.0,1637265600,1637204400,92,0.9,83,0.0,0.0,0.0,0,4,96,25,602,141,108,2586,506,12,298,56,0.6
4,Oslo,2021-11-19,1637276400,989,1001,2.7,18.8,6.2,1637330400,248,7.5,14.5,2.0,1637326800,1637298000,69,0.7,38,0.3,0.3,0.0,0,15,353,24,579,138,105,2522,500,12,292,56,1.7
5,Oslo,2021-11-20,1637362800,993,1005,2.6,9.5,5.5,1637442000,161,5.5,8.5,4.0,1637362800,1637424000,61,-1.5,68,0.0,0.0,0.0,0,6,148,23,557,134,102,2458,494,12,285,55,0.6
6,Oslo,2021-11-21,1637449200,999,1011,3.3,10.6,5.0,1637496000,25,2.2,5.5,-2.2,1637449200,1637532000,61,-4.8,27,0.0,0.0,0.0,0,22,535,22,535,130,100,2394,488,12,279,54,1.8
7,Oslo,2021-11-22,1637535600,1004,1016,1.0,7.2,1.6,1637586000,147,-1.4,1.5,-4.5,1637586000,1637553600,85,-3.6,38,3.0,3.0,19.5,0,14,342,21,515,127,97,2331,482,11,273,54,1.6
8,Oslo,2021-11-23,1637622000,1004,1016,0.8,5.6,1.3,1637654400,165,0.6,3.0,-1.9,1637672400,1637622000,88,-1.1,91,0.5,0.5,5.0,0,5,125,21,495,123,95,2269,476,11,267,53,0.8
9,Oslo,2021-11-24,1637708400,995,1007,1.2,7.2,2.6,1637773200,193,3.2,5.0,1.1,1637773200,1637715600,87,1.2,58,1.5,1.5,0.0,0,10,236,20,476,120,92,2208,470,11,261,52,1.2
