,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Palma del Río,2021-11-15,1636930800,1011,1018,2.6,8.0,4.4,1636970400,68,13.1,20.0,8.1,1636988400,1636948800,61,5.2,1,0.0,0.0,0,0,139,3325,139,3325,551,266,6379,828,31,756,101,3.7
1,Palma del Río,2021-11-16,1637017200,1011,1018,2.5,8.4,4.0,1637056800,40,11.1,18.5,5.9,1637074800,1637035200,62,3.4,22,0.0,0.0,0,0,135,3250,137,3291,547,264,6348,827,31,751,101,3.0
2,Palma del Río,2021-11-17,1637103600,1012,1018,2.4,7.6,3.6,1637143200,39,11.3,18.9,5.6,1637161200,1637128800,61,3.5,5,0.0,0.0,0,0,136,3258,136,3258,543,263,6318,825,31,747,100,3.7
3,Palma del Río,2021-11-18,1637190000,1014,1020,3.6,10.0,5.2,1637247600,56,13.0,19.6,7.0,1637244000,1637211600,62,5.5,2,0.0,0.0,0,0,134,3226,134,3226,539,262,6289,824,31,743,100,3.5
4,Palma del Río,2021-11-19,1637276400,1013,1020,4.7,12.4,6.0,1637330400,71,15.6,21.9,10.7,1637330400,1637301600,58,6.9,24,0.0,0.0,0,0,117,2818,133,3195,535,261,6261,822,31,739,100,2.5
5,Palma del Río,2021-11-20,1637362800,1012,1019,2.3,6.8,3.6,1637424000,89,14.6,17.0,13.3,1637413200,1637384400,75,10.2,87,22.0,22.0,0,0,40,960,132,3165,532,260,6235,821,31,735,100,1.1
6,Palma del Río,2021-11-21,1637449200,1009,1016,1.4,6.0,2.0,1637503200,171,14.1,17.0,11.5,1637499600,1637478000,82,10.9,66,4.0,4.0,0,0,115,2757,131,3135,528,259,6210,819,30,731,99,2.7
7,Palma del Río,2021-11-22,1637535600,1005,1011,3.0,12.4,6.0,1637593200,258,12.9,16.3,8.9,1637593200,1637618400,80,9.3,50,4.0,4.0,0,0,97,2320,129,3107,524,258,6186,818,30,727,99,1.8
8,Palma del Río,2021-11-23,1637622000,1006,1013,2.4,7.2,4.4,1637686800,270,8.2,12.2,5.2,1637672400,1637650800,73,3.6,28,4.8,4.8,0,0,82,1972,128,3079,521,257,6163,817,30,723,99,2.3
9,Palma del Río,2021-11-24,1637708400,1009,1016,2.3,8.4,4.0,1637766000,254,8.5,13.7,4.1,1637766000,1637715600,76,4.4,37,0.0,0.0,0,0,104,2490,127,3052,517,256,6141,815,30,719,99,2.1
10,Palma del Río,2021-11-25,1637794800,1005,1012,2.4,7.6,4.0,1637830800,221,8.8,11.9,5.6,1637852400,1637820000,78,5.2,66,6.0,6.0,0,0,44,1063,126,3026,514,255,6119,814,30,716,98,1.5
11,Palma del Río,2021-11-26,1637881200,1005,1012,1.3,5.6,2.0,1637942400,227,9.9,14.4,6.7,1637938800,1637964000,74,5.2,42,0.0,0.0,0,0,102,2454,125,3001,511,254,6098,813,30,712,98,2.7
12,Palma del Río,2021-11-27,1637967600,1006,1012,3.5,11.2,6.0,1638014400,287,8.4,13.7,4.1,1638021600,1637992800,69,2.7,19,1.8,1.8,0,0,87,2095,124,2977,508,253,6078,811,30,709,98,2.5
13,Palma del Río,2021-11-28,1638054000,1013,1020,3.7,9.2,5.2,1638108000,305,8.0,13.0,3.3,1638108000,1638082800,55,-0.7,4,0.0,0.0,0,0,123,2953,123,2953,505,252,6058,810,29,707,98,3.4
14,Palma del Río,2021-11-29,1638140400,1017,1023,3.4,8.8,4.8,1638158400,277,11.7,15.6,9.6,1638198000,1638140400,69,6.0,61,0.0,0.0,0,0,109,2613,122,2931,502,252,6038,809,29,704,97,2.6
15,Palma del Río,2021-11-30,1638226800,1020,1026,1.2,4.0,1.6,1638270000,197,9.5,14.8,5.2,1638284400,1638248400,73,4.8,7,0.0,0.0,0,0,121,2907,121,2909,499,251,6019,808,29,702,97,3.2
16,Palma del Río,2021-12-01,1638313200,1017,1024,2.1,8.4,4.8,1638370800,270,8.5,15.6,2.2,1638370800,1638342000,77,4.2,24,0.0,0.0,0,0,119,2867,120,2889,496,250,6000,807,29,699,97,2.8
17,Palma del Río,2021-12-02,1638399600,1010,1017,4.0,12.4,5.2,1638450000,277,11.5,15.2,7.4,1638450000,1638482400,61,3.9,42,5.8,5.8,0,0,117,2801,120,2869,494,249,5982,806,29,697,97,2.4
18,Palma del Río,2021-12-03,1638486000,1018,1025,1.4,4.4,2.0,1638525600,241,8.1,14.8,3.0,1638547200,1638511200,64,1.2,0,0.0,0.0,0,0,119,2850,119,2850,492,249,5965,805,29,695,97,2.8
19,Palma del Río,2021-12-04,1638572400,1019,1026,2.2,8.0,4.4,1638622800,292,9.9,17.0,3.7,1638630000,1638601200,75,5.5,37,0.8,0.8,0,0,86,2074,118,2832,489,248,5948,804,29,693,96,2.4
20,Palma del Río,2021-12-05,1638658800,1018,1025,3.3,10.0,5.6,1638712800,297,11.2,15.6,7.4,1638712800,1638687600,68,5.1,31,0.0,0.0,0,0,94,2259,117,2815,487,247,5932,803,29,691,96,2.6
21,Palma del Río,2021-12-06,1638745200,1020,1027,1.3,5.6,2.8,1638745200,282,9.8,15.6,5.2,1638802800,1638774000,69,4.1,7,0.0,0.0,0,0,108,2598,117,2799,485,247,5916,802,29,689,96,2.4
22,Palma del Río,2021-12-07,1638831600,1017,1023,2.4,9.6,5.6,1638910800,145,10.8,16.7,5.9,1638889200,1638860400,79,7.1,52,0.0,0.0,0,0,89,2130,116,2784,483,246,5901,801,29,687,96,1.5
23,Palma del Río,2021-12-08,1638918000,1014,1021,5.2,12.8,7.2,1638972000,272,12.6,15.2,9.6,1638968400,1639000800,72,7.4,77,0.0,0.0,0,0,69,1650,115,2770,481,245,5887,801,29,685,96,1.4
24,Palma del Río,2021-12-09,1639004400,1019,1026,3.0,9.2,5.6,1639051200,286,10.6,16.7,5.9,1639062000,1639033200,74,6.0,38,0.0,0.0,0,0,65,1568,115,2757,479,245,5874,800,28,683,96,1.3
25,Palma del Río,2021-12-10,1639090800,1018,1025,3.0,8.4,6.0,1639141200,270,11.9,15.9,8.1,1639148400,1639101600,80,8.4,66,1.5,1.5,0,0,36,861,114,2745,478,244,5861,799,28,682,96,0.8
26,Palma del Río,2021-12-11,1639177200,1017,1024,2.1,6.4,2.8,1639227600,86,11.7,18.5,6.3,1639234800,1639206000,77,7.5,6,0.0,0.0,0,0,114,2734,114,2734,476,244,5849,799,28,680,96,2.7
27,Palma del Río,2021-12-12,1639263600,1017,1024,2.8,8.0,4.0,1639306800,68,13.6,21.1,9.3,1639321200,1639288800,67,7.1,0,0.0,0.0,0,0,114,2724,114,2724,475,243,5838,798,28,679,95,2.7
28,Palma del Río,2021-12-13,1639350000,1017,1024,2.4,7.6,3.6,1639393200,83,12.5,19.6,8.1,1639404000,1639432800,67,6.1,0,0.0,0.0,0,0,113,2716,113,2716,474,243,5828,798,28,678,95,2.6
29,Palma del Río,2021-12-14,1639436400,1016,1023,2.0,6.4,2.8,1639479600,72,11.8,18.9,6.7,1639494000,1639454400,63,4.6,0,0.0,0.0,0,0,113,2708,113,2708,473,242,5818,797,28,677,95,2.6
30,Palma del Río,2021-12-15,1639522800,1016,1023,2.2,6.8,3.2,1639562400,74,10.9,17.4,6.3,1639580400,1639551600,63,3.6,6,0.0,0.0,0,0,112,2699,113,2701,472,242,5810,797,28,676,95,2.6
31,Palma del Río,2021-12-16,1639609200,1016,1023,3.1,9.6,4.8,1639648800,63,10.9,16.7,5.9,1639666800,1639634400,62,3.6,14,0.0,0.0,0,0,112,2695,112,2695,471,242,5802,796,28,675,95,2.6
32,Palma del Río,2021-12-17,1639695600,1017,1024,2.9,8.4,4.8,1639742400,70,11.7,17.0,7.4,1639746000,1639724400,62,4.4,33,0.0,0.0,0,0,110,2646,112,2690,470,241,5795,796,28,675,95,2.4
