,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Ushuaia,2022-11-15,1668481200,983,990,4.4,20.4,7.8,1668538800,271,11.9,16.6,7.9,1668531600,1668492000,60,3.3,67,1.5,1.5,0,0,194,4660,327,7853,863,479,11496,931,59,1420,121,4.0
1,Ushuaia,2022-11-16,1668567600,994,1000,5.6,15.2,10.2,1668610800,255,9.8,14.0,6.8,1668628800,1668582000,53,0.5,56,0.0,0.0,0,0,292,7002,330,7909,867,481,11555,932,59,1427,121,6.8
2,Ushuaia,2022-11-17,1668654000,988,995,6.4,16.4,9.7,1668664800,286,11.7,16.4,9.5,1668704400,1668672000,49,1.1,65,1.0,1.0,0,0,253,6083,332,7964,870,484,11612,934,60,1434,121,6.1
3,Ushuaia,2022-11-18,1668740400,988,995,7.3,19.0,12.1,1668819600,320,13.6,17.3,10.2,1668798000,1668758400,39,-0.4,51,0.0,0.0,0,0,228,5474,334,8018,874,486,11667,935,60,1441,122,4.5
4,Ushuaia,2022-11-19,1668826800,984,991,8.9,23.1,16.4,1668877200,249,10.4,14.5,6.4,1668830400,1668906000,55,1.2,55,2.5,2.5,0,0,300,7195,336,8070,877,488,11721,936,60,1448,122,4.7
5,Ushuaia,2022-11-20,1668913200,998,1005,3.8,17.2,7.5,1668960000,209,7.9,10.4,5.2,1668967200,1668927600,67,2.1,62,1.5,1.5,2,2,285,6851,338,8122,880,490,11772,937,61,1454,122,4.3
6,Ushuaia,2022-11-21,1668999600,993,1000,6.2,15.0,11.6,1669046400,286,10.9,13.6,7.4,1669064400,1669014000,55,2.0,61,3.0,3.0,0,1,85,2052,340,8171,883,493,11821,938,61,1460,122,2.4
7,Ushuaia,2022-11-22,1669086000,984,991,4.8,22.4,7.7,1669161600,226,11.6,17.7,8.0,1669140000,1669104000,65,4.8,50,1.0,1.0,0,0,276,6623,343,8220,886,495,11869,939,61,1466,122,4.6
8,Ushuaia,2022-11-23,1669172400,977,984,9.2,22.4,15.8,1669172400,255,7.1,10.4,3.9,1669204800,1669179600,67,1.0,56,2.5,2.5,0,0,252,6040,344,8267,889,496,11914,940,61,1472,123,4.4
9,Ushuaia,2022-11-24,1669258800,986,992,8.4,24.8,12.1,1669309200,311,9.5,14.4,3.1,1669320000,1669269600,51,-0.7,44,0.0,0.0,0,0,200,4808,346,8313,892,498,11958,941,62,1477,123,3.4
10,Ushuaia,2022-11-25,1669345200,983,990,9.8,21.2,15.3,1669395600,267,8.1,13.0,3.9,1669381200,1669424400,62,0.9,61,5.0,5.0,0,0,231,5555,348,8358,894,500,11999,942,62,1482,123,3.9
11,Ushuaia,2022-11-26,1669431600,1000,1007,7.9,17.8,13.4,1669478400,215,7.3,10.6,3.4,1669478400,1669438800,69,2.0,72,2.5,2.5,1,1,307,7379,350,8400,897,502,12040,943,62,1487,123,5.0
12,Ushuaia,2022-11-27,1669518000,1007,1014,2.2,5.4,4.9,1669518000,223,10.3,14.6,5.8,1669582800,1669528800,61,2.8,67,0.0,0.0,0,0,119,2851,352,8442,899,503,12078,944,62,1492,123,2.7
13,Ushuaia,2022-11-28,1669604400,987,994,6.0,24.2,17.0,1669687200,270,14.3,19.8,5.0,1669658400,1669687200,51,3.7,62,1.5,1.5,0,0,134,3210,353,8482,902,505,12114,945,62,1497,123,2.7
14,Ushuaia,2022-11-29,1669690800,984,991,11.0,22.1,15.8,1669690800,224,6.7,9.0,4.1,1669737600,1669698000,71,1.8,79,1.5,1.5,0,0,236,5675,355,8520,904,506,12149,946,63,1501,123,4.3
15,Ushuaia,2022-11-30,1669777200,984,991,10.1,22.4,14.9,1669824000,233,8.8,10.8,6.8,1669824000,1669784400,60,1.4,59,0.0,0.0,0,0,209,5022,357,8557,906,508,12182,946,63,1506,124,4.5
16,Ushuaia,2022-12-01,1669863600,979,986,6.4,23.6,10.9,1669903200,260,12.3,15.8,7.5,1669910400,1669863600,51,2.3,55,2.0,2.0,0,0,90,2163,358,8593,908,509,12214,947,63,1511,124,2.6
17,Ushuaia,2022-12-02,1669950000,973,980,8.8,29.1,19.3,1670014800,271,10.6,16.6,5.7,1669996800,1670032800,61,3.1,56,6.5,6.5,0,0,272,6533,359,8627,910,510,12244,948,63,1516,124,4.2
18,Ushuaia,2022-12-03,1670036400,980,987,6.7,21.2,12.6,1670090400,237,6.6,10.5,3.9,1670083200,1670054400,65,0.1,67,2.0,2.0,1,1,279,6701,361,8659,912,511,12274,948,63,1520,124,4.1
19,Ushuaia,2022-12-04,1670122800,977,984,5.7,22.4,9.8,1670194800,277,7.6,14.2,3.5,1670176800,1670140800,70,2.1,55,4.0,4.0,0,0,235,5630,362,8690,914,513,12302,949,64,1524,124,4.8
20,Ushuaia,2022-12-05,1670209200,979,985,9.6,18.7,13.9,1670263200,226,6.6,9.0,4.3,1670259600,1670292000,63,-0.1,53,0.0,0.0,0,0,350,8407,363,8719,915,514,12329,950,64,1528,124,6.1
21,Ushuaia,2022-12-06,1670295600,991,998,8.9,17.9,13.4,1670353200,239,4.7,8.0,3.0,1670360400,1670313600,67,-1.0,61,0.5,0.5,1,1,255,6108,364,8747,917,515,12354,950,64,1532,124,4.0
22,Ushuaia,2022-12-07,1670382000,993,1000,8.5,17.6,13.2,1670428800,241,6.3,10.0,2.3,1670439600,1670396400,54,-2.5,46,0.0,0.0,0,0,145,3481,366,8773,918,516,12378,951,64,1535,124,3.3
23,Ushuaia,2022-12-08,1670468400,985,991,5.7,9.9,8.2,1670493600,220,6.8,10.0,4.1,1670526000,1670475600,67,0.9,73,0.0,0.0,0,0,116,2775,367,8797,920,517,12400,951,64,1538,125,2.6
24,Ushuaia,2022-12-09,1670554800,990,997,6.9,14.5,11.3,1670626800,226,7.7,11.0,5.6,1670608800,1670554800,70,2.4,68,0.0,0.0,0,0,256,6148,367,8820,921,518,12421,952,64,1541,125,3.8
25,Ushuaia,2022-12-10,1670641200,995,1002,13.8,27.9,18.9,1670698800,232,7.5,10.0,5.0,1670695200,1670659200,62,0.6,51,0.0,0.0,0,0,258,6192,368,8840,922,518,12440,952,64,1544,125,4.3
26,Ushuaia,2022-12-11,1670727600,996,1003,8.2,18.4,13.7,1670727600,185,8.5,13.4,6.4,1670785200,1670745600,69,2.9,62,0.0,0.0,0,0,184,4408,369,8860,923,519,12457,953,64,1547,125,3.4
27,Ushuaia,2022-12-12,1670814000,989,995,3.9,7.4,6.4,1670850000,193,8.6,12.2,5.4,1670860800,1670839200,68,2.8,81,0.5,0.5,0,0,182,4374,370,8877,924,520,12473,953,65,1550,125,4.8
28,Ushuaia,2022-12-13,1670900400,985,992,6.4,16.4,12.0,1670961600,203,8.0,10.5,5.6,1670947200,1670914800,68,2.3,56,3.0,3.0,0,0,325,7802,371,8893,925,520,12488,953,65,1553,125,4.4
29,Ushuaia,2022-12-14,1670986800,991,998,5.7,19.8,14.5,1671051600,219,8.0,13.0,4.0,1671037200,1671001200,62,0.9,58,2.5,2.5,0,0,248,5941,371,8907,925,521,12501,954,65,1555,125,5.0
30,Ushuaia,2022-12-15,1671073200,998,1004,3.8,11.9,9.6,1671130800,197,10.4,16.2,5.6,1671123600,1671084000,66,4.2,76,0.5,0.5,0,0,232,5579,372,8919,926,521,12514,954,65,1558,125,3.9
